LOCATION,Country,TRANSACT,Transaction,SECTOR,Sector,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
FIN,Finland,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2011,2011,EUR,Euro,6,Millions,NA,NA,45715,NA,NA
FIN,Finland,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2012,2012,EUR,Euro,6,Millions,NA,NA,43233,NA,NA
FIN,Finland,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2013,2013,EUR,Euro,6,Millions,NA,NA,43476,NA,NA
FIN,Finland,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2014,2014,EUR,Euro,6,Millions,NA,NA,45033,NA,NA
FIN,Finland,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,2015,2015,EUR,Euro,6,Millions,NA,NA,47113,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1950,1950,EUR,Euro,6,Millions,NA,NA,2191,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1951,1951,EUR,Euro,6,Millions,NA,NA,2826,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1952,1952,EUR,Euro,6,Millions,NA,NA,2992,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1953,1953,EUR,Euro,6,Millions,NA,NA,3207,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1954,1954,EUR,Euro,6,Millions,NA,NA,3314,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1955,1955,EUR,Euro,6,Millions,NA,NA,3696,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1956,1956,EUR,Euro,6,Millions,NA,NA,4083,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1957,1957,EUR,Euro,6,Millions,NA,NA,4717,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1958,1958,EUR,Euro,6,Millions,NA,NA,5547,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1959,1959,EUR,Euro,6,Millions,NA,NA,6174,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1960,1960,EUR,Euro,6,Millions,NA,NA,7140,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1961,1961,EUR,Euro,6,Millions,NA,NA,7647,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1962,1962,EUR,Euro,6,Millions,NA,NA,7922,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1963,1963,EUR,Euro,6,Millions,NA,NA,8714,NA,NA
FRA,France,SB2G_B3G,Gross operating surplus and mixed income,SS11_S12,Corporations,C,Current prices,1964,1964,EUR,Euro,6,Millions,NA,NA,9913,NA,NA
