"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,33194,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1977","1977","EUR","Euro","6","Millions",,,37537,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1978","1978","EUR","Euro","6","Millions",,,38162,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1979","1979","EUR","Euro","6","Millions",,,45025,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1980","1980","EUR","Euro","6","Millions",,,54001,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1981","1981","EUR","Euro","6","Millions",,,52793,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1982","1982","EUR","Euro","6","Millions",,,65134,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1983","1983","EUR","Euro","6","Millions",,,64503,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1984","1984","EUR","Euro","6","Millions",,,69254,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1985","1985","EUR","Euro","6","Millions",,,76422,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1986","1986","EUR","Euro","6","Millions",,,87825,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1987","1987","EUR","Euro","6","Millions",,,94552,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1988","1988","EUR","Euro","6","Millions",,,108594,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1989","1989","EUR","Euro","6","Millions",,,123942,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1990","1990","EUR","Euro","6","Millions",,,134848,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1991","1991","EUR","Euro","6","Millions",,,135685,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1992","1992","EUR","Euro","6","Millions",,,128545,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1993","1993","EUR","Euro","6","Millions",,,109420,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1994","1994","EUR","Euro","6","Millions",,,119099,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,128369,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,124611,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,131969,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,151356,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,162191,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,188289,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,191173,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,182610,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,182161,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,195202,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,210419,,
"FRA","France","SP5P","Gross capital formation","SS11_S12","Corporations","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,230513,,
